# Availability - Yesterday

Date,"Node ID",Column1,Node,"IP Address","Average Availability"
8/15/2016,2224,unknown.gif,"117303 Blang Mangat",10.11.105.33,"0.00 %"
8/15/2016,2225,unknown.gif,"117304 Muara Satu",10.11.105.49,"0.00 %"
8/15/2016,6525,unknown.gif,"1174 Kota Langsa",10.11.74.1,"60.23 %"
8/15/2016,662,unknown.gif,"117401 Langsa Timur",10.11.107.1,"0.00 %"
8/15/2016,2226,unknown.gif,"117402 Langsa Barat",10.11.107.17,"0.00 %"
8/15/2016,2227,unknown.gif,"117403 Langsa Kota",10.11.107.33,"56.82 %"
8/15/2016,663,unknown.gif,"117404 Langsa Lama",10.11.107.49,"0.00 %"
8/15/2016,2228,unknown.gif,"117405 Langsa Baro",10.11.107.65,"100.00 %"
8/15/2016,4406,unknown.gif,"1175 Kota Subulussalam",10.11.75.1,"100.00 %"
8/15/2016,669,unknown.gif,"117501 Simpang Kiri",10.11.109.1,"0.00 %"
8/15/2016,2229,unknown.gif,"117502 Penanggalan",10.11.109.17,"100.00 %"
8/15/2016,1156,unknown.gif,"117503 Rundeng",10.11.109.33,"0.00 %"
8/15/2016,2230,unknown.gif,"117504 Sultan Daulat",10.11.109.49,"100.00 %"
8/15/2016,311,unknown.gif,"117505 Longkib",10.11.109.65,"100.00 %"
8/15/2016,5429,unknown.gif,"12 Sumatera Utara",10.10.12.2,"100.00 %"
8/15/2016,4435,unknown.gif,"1201 Tapanuli Tengah",10.12.1.1,"40.57 %"
8/15/2016,7290,unknown.gif,"120101 Barus",10.12.141.17,"51.43 %"
8/15/2016,6330,unknown.gif,"120102 Sorkam",10.12.141.33,"33.90 %"
8/15/2016,7041,unknown.gif,"120103 Pandan",10.12.141.49,"0.00 %"
8/15/2016,6298,unknown.gif,"120104 Pinangsori",10.12.141.65,"0.00 %"
